,item,condition,disambPositionAmb,disambPositionUnamb,ambiguity,Sentence,disambPosition_0idx,sum_surprisal,sum_surprisal_base2,mean_surprisal,mean_surprisal_base2,token,word,word_pos
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,12.687423706054688,18.30408326238217,12.687423706054688,18.30408326238217,deserved,deserved,5
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,7.544216156005859,10.884003235664052,7.544216156005859,10.884003235664052,further,further,6
0,1,NPS_UAMB,6,7,ambiguous,The suspect showed the file deserved further investigation during the murder trial.,5,7.1601057052612305,10.329848993221152,7.1601057052612305,10.329848993221152,investigation,investigation,7
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,17.890214920043945,25.810124345585145,17.890214920043945,25.810124345585145,deserved,deserved,6
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,6.096501350402832,8.795392264999034,6.096501350402832,8.795392264999034,further,further,7
1,1,NPZ_UAMB,7,7,ambiguous,Because the suspect changed the file deserved further investigation during the jury discussions.,6,4.428862571716309,6.38949806899386,4.428862571716309,6.38949806899386,investigation,investigation,8
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,19.527498245239258,28.172224879374614,19.527498245239258,28.172224879374614,deserved,deserved,5
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,6.356138229370117,9.169969102717024,6.356138229370117,9.169969102717024,further,further,6
2,1,MVRR_UAMB,6,8,ambiguous,The suspect sent the file deserved further investigation given the new evidence.,5,4.206449508666992,6.068623845903686,4.206449508666992,6.068623845903686,investigation,investigation,7
3,2,NPS_UAMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,8.058505058288574,11.625965284571553,8.058505058288574,11.625965284571553,received,received,6
3,2,NPS_UAMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,10.640836715698242,15.35148236064706,10.640836715698242,15.35148236064706,unwelcome,unwelcome,7
3,2,NPS_UAMB,7,8,ambiguous,The corrupt politician mentioned the bill received unwelcome attention from southern voters.,6,0.5505077838897705,0.7942148497885452,0.5505077838897705,0.7942148497885452,attention,attention,8
4,2,NPZ_UAMB,8,8,ambiguous,After the corrupt politician signed the bill received unwelcome attention from southern voters.,7,9.402891159057617,13.565504445191102,9.402891159057617,13.565504445191102,received,received,7
4,2,NPZ_UAMB,8,8,ambiguous,After the corrupt politician signed the bill received unwelcome attention from southern voters.,7,11.718403816223145,16.906083072799436,11.718403816223145,16.906083072799436,unwelcome,unwelcome,8
4,2,NPZ_UAMB,8,8,ambiguous,After the corrupt politician signed the bill received unwelcome attention from southern voters.,7,0.2683029770851135,0.3870793744964385,0.2683029770851135,0.3870793744964385,attention,attention,9
5,2,MVRR_UAMB,7,9,ambiguous,The corrupt politician handed the bill received unwelcome attention from southern voters.,6,10.859847068786621,15.667447510951003,10.859847068786621,15.667447510951003,received,received,6
5,2,MVRR_UAMB,7,9,ambiguous,The corrupt politician handed the bill received unwelcome attention from southern voters.,6,11.039119720458984,15.926083276485738,11.039119720458984,15.926083276485738,unwelcome,unwelcome,7
5,2,MVRR_UAMB,7,9,ambiguous,The corrupt politician handed the bill received unwelcome attention from southern voters.,6,0.43057781457901,0.6211924778099454,0.43057781457901,0.6211924778099454,attention,attention,8
6,3,NPS_UAMB,6,7,ambiguous,The woman maintained the mail disappeared mysteriously from her front porch.,5,14.930397033691406,21.540009759009884,14.930397033691406,21.540009759009884,disappeared,disappeared,5
6,3,NPS_UAMB,6,7,ambiguous,The woman maintained the mail disappeared mysteriously from her front porch.,5,12.147479057312012,17.52510779528658,12.147479057312012,17.52510779528658,mysteriously,mysteriously,6
6,3,NPS_UAMB,6,7,ambiguous,The woman maintained the mail disappeared mysteriously from her front porch.,5,2.0343379974365234,2.934929340393657,2.0343379974365234,2.934929340393657,from,from,7
7,3,NPZ_UAMB,7,7,ambiguous,After the woman moved the mail disappeared mysteriously from the delivery system.,6,13.552586555480957,19.552249414810817,13.552586555480957,19.552249414810817,disappeared,disappeared,6
7,3,NPZ_UAMB,7,7,ambiguous,After the woman moved the mail disappeared mysteriously from the delivery system.,6,10.969134330749512,15.8251157018172,10.969134330749512,15.8251157018172,mysteriously,mysteriously,7
7,3,NPZ_UAMB,7,7,ambiguous,After the woman moved the mail disappeared mysteriously from the delivery system.,6,1.3119615316390991,1.8927603955328172,1.3119615316390991,1.8927603955328172,from,from,8
8,3,MVRR_UAMB,6,8,ambiguous,The woman brought the mail disappeared mysteriously after reading the bad news in it.,5,15.189821243286133,21.914279779678733,15.189821243286133,21.914279779678733,disappeared,disappeared,5
8,3,MVRR_UAMB,6,8,ambiguous,The woman brought the mail disappeared mysteriously after reading the bad news in it.,5,11.968435287475586,17.266802236441503,11.968435287475586,17.266802236441503,mysteriously,mysteriously,6
8,3,MVRR_UAMB,6,8,ambiguous,The woman brought the mail disappeared mysteriously after reading the bad news in it.,5,5.358936309814453,7.731310838609113,5.358936309814453,7.731310838609113,after,after,7
9,4,NPS_UAMB,6,7,ambiguous,The boy found the chicken stayed surprisingly happy in the new barn.,5,10.818656921386719,15.608022689563679,10.818656921386719,15.608022689563679,stayed,stayed,5
9,4,NPS_UAMB,6,7,ambiguous,The boy found the chicken stayed surprisingly happy in the new barn.,5,11.228995323181152,16.20001586691881,11.228995323181152,16.20001586691881,surprisingly,surprisingly,6
9,4,NPS_UAMB,6,7,ambiguous,The boy found the chicken stayed surprisingly happy in the new barn.,5,5.3596272468566895,7.732307650053515,5.3596272468566895,7.732307650053515,happy,happy,7
10,4,NPZ_UAMB,7,7,ambiguous,Although the boy attacked the chicken stayed surprisingly happy as if nothing happened.,6,13.205772399902344,19.051902352447456,13.205772399902344,19.051902352447456,stayed,stayed,6
10,4,NPZ_UAMB,7,7,ambiguous,Although the boy attacked the chicken stayed surprisingly happy as if nothing happened.,6,10.939523696899414,15.782396587204085,10.939523696899414,15.782396587204085,surprisingly,surprisingly,7
10,4,NPZ_UAMB,7,7,ambiguous,Although the boy attacked the chicken stayed surprisingly happy as if nothing happened.,6,5.946045398712158,8.57833020962267,5.946045398712158,8.57833020962267,happy,happy,8
11,4,MVRR_UAMB,6,8,ambiguous,The boy fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,5,13.57151985168457,19.57956438735145,13.57151985168457,19.57956438735145,stayed,stayed,5
11,4,MVRR_UAMB,6,8,ambiguous,The boy fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,5,11.583820343017578,16.711920163420153,11.583820343017578,16.711920163420153,surprisingly,surprisingly,6
11,4,MVRR_UAMB,6,8,ambiguous,The boy fed the chicken stayed surprisingly happy despite having a mild allergic reaction.,5,5.697652816772461,8.219975463464664,5.697652816772461,8.219975463464664,happy,happy,7
12,5,NPS_UAMB,7,8,ambiguous,The new doctor demonstrated the operation appeared increasingly likely to succeed.,6,13.13917350769043,18.95582046092463,13.13917350769043,18.95582046092463,appeared,appeared,6
12,5,NPS_UAMB,7,8,ambiguous,The new doctor demonstrated the operation appeared increasingly likely to succeed.,6,8.649371147155762,12.478404860809702,8.649371147155762,12.478404860809702,increasingly,increasingly,7
12,5,NPS_UAMB,7,8,ambiguous,The new doctor demonstrated the operation appeared increasingly likely to succeed.,6,6.052391052246094,8.731754556596174,6.052391052246094,8.731754556596174,likely,likely,8
13,5,NPZ_UAMB,8,8,ambiguous,After the new doctor left the operation appeared increasingly likely to succeed.,7,11.606626510620117,16.744822508322017,11.606626510620117,16.744822508322017,appeared,appeared,7
13,5,NPZ_UAMB,8,8,ambiguous,After the new doctor left the operation appeared increasingly likely to succeed.,7,8.743422508239746,12.614092293034425,8.743422508239746,12.614092293034425,increasingly,increasingly,8
13,5,NPZ_UAMB,8,8,ambiguous,After the new doctor left the operation appeared increasingly likely to succeed.,7,6.8829665184021,9.930021662703483,6.8829665184021,9.930021662703483,likely,likely,9
14,5,MVRR_UAMB,7,9,ambiguous,The new doctor offered the operation appeared increasingly likely to succeed in her career.,6,14.012075424194336,20.21515172704729,14.012075424194336,20.21515172704729,appeared,appeared,6
14,5,MVRR_UAMB,7,9,ambiguous,The new doctor offered the operation appeared increasingly likely to succeed in her career.,6,10.491506576538086,15.136044509425442,10.491506576538086,15.136044509425442,increasingly,increasingly,7
14,5,MVRR_UAMB,7,9,ambiguous,The new doctor offered the operation appeared increasingly likely to succeed in her career.,6,6.635985374450684,9.573703191131692,6.635985374450684,9.573703191131692,likely,likely,8
15,6,NPS_UAMB,6,7,ambiguous,The professor noticed the grant gained more attention from marine biologists.,5,7.26967716217041,10.487927190727003,7.26967716217041,10.487927190727003,gained,gained,5
15,6,NPS_UAMB,6,7,ambiguous,The professor noticed the grant gained more attention from marine biologists.,5,6.766852378845215,9.762504369387678,6.766852378845215,9.762504369387678,more,more,6
15,6,NPS_UAMB,6,7,ambiguous,The professor noticed the grant gained more attention from marine biologists.,5,6.095179080963135,8.793484633435664,6.095179080963135,8.793484633435664,attention,attention,7
16,6,NPZ_UAMB,7,7,ambiguous,After the professor read the grant gained more attention due to her excellent description.,6,11.363361358642578,16.393865079942923,11.363361358642578,16.393865079942923,gained,gained,6
16,6,NPZ_UAMB,7,7,ambiguous,After the professor read the grant gained more attention due to her excellent description.,6,6.612934112548828,9.540447249899653,6.612934112548828,9.540447249899653,more,more,7
16,6,NPZ_UAMB,7,7,ambiguous,After the professor read the grant gained more attention due to her excellent description.,6,4.168788909912109,6.014291086843108,4.168788909912109,6.014291086843108,attention,attention,8
17,6,MVRR_UAMB,6,8,ambiguous,The professor awarded the grant gained more attention from marine biologists.,5,9.375731468200684,13.526321293879727,9.375731468200684,13.526321293879727,gained,gained,5
17,6,MVRR_UAMB,6,8,ambiguous,The professor awarded the grant gained more attention from marine biologists.,5,6.332076072692871,9.13525474860567,6.332076072692871,9.13525474860567,more,more,6
17,6,MVRR_UAMB,6,8,ambiguous,The professor awarded the grant gained more attention from marine biologists.,5,6.0915374755859375,8.788230907417107,6.0915374755859375,8.788230907417107,attention,attention,7
18,7,NPS_UAMB,6,7,ambiguous,The technician reported the service stopped working almost immediately after the storm started.,5,9.092493057250977,13.117694643013314,9.092493057250977,13.117694643013314,stopped,stopped,5
18,7,NPS_UAMB,6,7,ambiguous,The technician reported the service stopped working almost immediately after the storm started.,5,7.696538925170898,11.103758539352928,7.696538925170898,11.103758539352928,working,working,6
18,7,NPS_UAMB,6,7,ambiguous,The technician reported the service stopped working almost immediately after the storm started.,5,8.353297233581543,12.051260493959589,8.353297233581543,12.051260493959589,almost,almost,7
19,7,NPZ_UAMB,7,7,ambiguous,After the technician called the service stopped working almost immediately to his surprise.,6,8.528721809387207,12.304344659524471,8.528721809387207,12.304344659524471,stopped,stopped,6
19,7,NPZ_UAMB,7,7,ambiguous,After the technician called the service stopped working almost immediately to his surprise.,6,6.810848236083984,9.825976974445709,6.810848236083984,9.825976974445709,working,working,7
19,7,NPZ_UAMB,7,7,ambiguous,After the technician called the service stopped working almost immediately to his surprise.,6,8.832420349121094,12.74248903672377,8.832420349121094,12.74248903672377,almost,almost,8
20,7,MVRR_UAMB,6,8,ambiguous,The technician refused the service stopped working almost immediately after the argument.,5,11.197638511657715,16.15477755043586,11.197638511657715,16.15477755043586,stopped,stopped,5
20,7,MVRR_UAMB,6,8,ambiguous,The technician refused the service stopped working almost immediately after the argument.,5,6.692244529724121,9.654867995449283,6.692244529724121,9.654867995449283,working,working,6
20,7,MVRR_UAMB,6,8,ambiguous,The technician refused the service stopped working almost immediately after the argument.,5,9.305068016052246,13.424375481893081,9.305068016052246,13.424375481893081,almost,almost,7
21,8,NPS_UAMB,6,7,ambiguous,The mechanic observed the truck needed several more hours to be repaired.,5,9.316352844238281,13.440656047554357,9.316352844238281,13.440656047554357,needed,needed,5
21,8,NPS_UAMB,6,7,ambiguous,The mechanic observed the truck needed several more hours to be repaired.,5,8.072454452514648,11.646090006444917,8.072454452514648,11.646090006444917,several,several,6
21,8,NPS_UAMB,6,7,ambiguous,The mechanic observed the truck needed several more hours to be repaired.,5,5.212796211242676,7.520475243124586,5.212796211242676,7.520475243124586,more,more,7
22,8,NPZ_UAMB,7,7,ambiguous,Because the mechanic stopped the truck needed several more hours before it could be fully repaired.,6,11.711132049560547,16.895592131096805,11.711132049560547,16.895592131096805,needed,needed,6
22,8,NPZ_UAMB,7,7,ambiguous,Because the mechanic stopped the truck needed several more hours before it could be fully repaired.,6,6.949098110198975,10.025429382234929,6.949098110198975,10.025429382234929,several,several,7
22,8,NPZ_UAMB,7,7,ambiguous,Because the mechanic stopped the truck needed several more hours before it could be fully repaired.,6,5.926385879516602,8.549967518772979,5.926385879516602,8.549967518772979,more,more,8
23,8,MVRR_UAMB,6,8,ambiguous,The mechanic brought the truck needed several more hours to fully repair it.,5,10.310345649719238,14.874684538701043,10.310345649719238,14.874684538701043,needed,needed,5
23,8,MVRR_UAMB,6,8,ambiguous,The mechanic brought the truck needed several more hours to fully repair it.,5,7.330799102783203,10.57610751133859,7.330799102783203,10.57610751133859,several,several,6
23,8,MVRR_UAMB,6,8,ambiguous,The mechanic brought the truck needed several more hours to fully repair it.,5,5.530016899108887,7.978127956376555,5.530016899108887,7.978127956376555,more,more,7
24,9,NPS_UAMB,6,7,ambiguous,The guitarist knew the song failed dramatically because of the tensions within the band.,5,7.9049391746521,11.40441654579948,7.9049391746521,11.40441654579948,failed,failed,5
24,9,NPS_UAMB,6,7,ambiguous,The guitarist knew the song failed dramatically because of the tensions within the band.,5,11.711837768554688,16.89661026838991,11.711837768554688,16.89661026838991,dramatically,dramatically,6
24,9,NPS_UAMB,6,7,ambiguous,The guitarist knew the song failed dramatically because of the tensions within the band.,5,3.319554328918457,4.789104568292149,3.319554328918457,4.789104568292149,because,because,7
25,9,NPZ_UAMB,7,7,ambiguous,After the guitarist began the song failed dramatically because he skipped the sound check.,6,10.337929725646973,14.91447994824949,10.337929725646973,14.91447994824949,failed,failed,6
25,9,NPZ_UAMB,7,7,ambiguous,After the guitarist began the song failed dramatically because he skipped the sound check.,6,12.400522232055664,17.890171928620045,12.400522232055664,17.890171928620045,dramatically,dramatically,7
25,9,NPZ_UAMB,7,7,ambiguous,After the guitarist began the song failed dramatically because he skipped the sound check.,6,5.347198009490967,7.7143760509439545,5.347198009490967,7.7143760509439545,because,because,8
26,9,MVRR_UAMB,6,8,ambiguous,The guitarist assigned the song failed dramatically because he never practiced enough.,5,11.698931694030762,16.8779907386769,11.698931694030762,16.8779907386769,failed,failed,5
26,9,MVRR_UAMB,6,8,ambiguous,The guitarist assigned the song failed dramatically because he never practiced enough.,5,12.209375381469727,17.61440531519817,12.209375381469727,17.61440531519817,dramatically,dramatically,6
26,9,MVRR_UAMB,6,8,ambiguous,The guitarist assigned the song failed dramatically because he never practiced enough.,5,3.9941890239715576,5.762396697256896,3.9941890239715576,5.762396697256896,because,because,7
27,10,NPS_UAMB,6,7,ambiguous,The player revealed the bonus remained essentially the same as in the original contract.,5,13.247235298156738,19.111720670139956,13.247235298156738,19.111720670139956,remained,remained,5
27,10,NPS_UAMB,6,7,ambiguous,The player revealed the bonus remained essentially the same as in the original contract.,5,7.00693416595459,10.108869173058132,7.00693416595459,10.108869173058132,essentially,essentially,6
27,10,NPS_UAMB,6,7,ambiguous,The player revealed the bonus remained essentially the same as in the original contract.,5,1.5736359357833862,2.2702767607193546,1.5736359357833862,2.2702767607193546,the,the,7
28,10,NPZ_UAMB,7,7,ambiguous,Although the player lost the bonus remained essentially the same as in the original contract.,6,12.79793930053711,18.46352356248286,12.79793930053711,18.46352356248286,remained,remained,6
28,10,NPZ_UAMB,7,7,ambiguous,Although the player lost the bonus remained essentially the same as in the original contract.,6,8.083407402038574,11.661891772406191,8.083407402038574,11.661891772406191,essentially,essentially,7
28,10,NPZ_UAMB,7,7,ambiguous,Although the player lost the bonus remained essentially the same as in the original contract.,6,1.8905894756317139,2.7275440608507395,1.8905894756317139,2.7275440608507395,the,the,8
29,10,MVRR_UAMB,6,8,ambiguous,The player paid the bonus remained essentially the same despite his sudden fame and wealth.,5,13.904887199401855,20.060511806697484,13.904887199401855,20.060511806697484,remained,remained,5
29,10,MVRR_UAMB,6,8,ambiguous,The player paid the bonus remained essentially the same despite his sudden fame and wealth.,5,8.937851905822754,12.894594620730459,8.937851905822754,12.894594620730459,essentially,essentially,6
29,10,MVRR_UAMB,6,8,ambiguous,The player paid the bonus remained essentially the same despite his sudden fame and wealth.,5,1.5459084510803223,2.23027445604192,1.5459084510803223,2.23027445604192,the,the,7
30,11,NPS_UAMB,7,8,ambiguous,The recent hire claimed the job prepared many students for careers in media.,6,11.818653106689453,17.050712227007814,11.818653106689453,17.050712227007814,prepared,prepared,6
30,11,NPS_UAMB,7,8,ambiguous,The recent hire claimed the job prepared many students for careers in media.,6,9.122623443603516,13.16116360198419,9.122623443603516,13.16116360198419,many,many,7
30,11,NPS_UAMB,7,8,ambiguous,The recent hire claimed the job prepared many students for careers in media.,6,6.492380142211914,9.366524634735113,6.492380142211914,9.366524634735113,students,students,8
31,11,NPZ_UAMB,8,8,ambiguous,Once the recent hire started the job prepared many students for careers in media.,7,10.915085792541504,15.747140143777209,10.915085792541504,15.747140143777209,prepared,prepared,7
31,11,NPZ_UAMB,8,8,ambiguous,Once the recent hire started the job prepared many students for careers in media.,7,6.9977192878723145,10.095574914146438,6.9977192878723145,10.095574914146438,many,many,8
31,11,NPZ_UAMB,8,8,ambiguous,Once the recent hire started the job prepared many students for careers in media.,7,4.864391326904297,7.017833244268114,4.864391326904297,7.017833244268114,students,students,9
32,11,MVRR_UAMB,7,9,ambiguous,The recent hire offered the job prepared many students for careers in media.,6,12.735111236572266,18.372881826172122,12.735111236572266,18.372881826172122,prepared,prepared,6
32,11,MVRR_UAMB,7,9,ambiguous,The recent hire offered the job prepared many students for careers in media.,6,10.796178817749023,15.575593640916988,10.796178817749023,15.575593640916988,many,many,7
32,11,MVRR_UAMB,7,9,ambiguous,The recent hire offered the job prepared many students for careers in media.,6,8.060206413269043,11.628419820964668,8.060206413269043,11.628419820964668,students,students,8
33,12,NPS_UAMB,7,8,ambiguous,The assistant manager discovered the training seemed unnecessarily demanding for new staff.,6,10.23807144165039,14.77041489713594,10.23807144165039,14.77041489713594,seemed,seemed,6
33,12,NPS_UAMB,7,8,ambiguous,The assistant manager discovered the training seemed unnecessarily demanding for new staff.,6,7.588294506072998,10.947594852716481,7.588294506072998,10.947594852716481,unnecessarily,unnecessarily,7
33,12,NPS_UAMB,7,8,ambiguous,The assistant manager discovered the training seemed unnecessarily demanding for new staff.,6,5.094973564147949,7.350493094456613,5.094973564147949,7.350493094456613,demanding,demanding,8
34,12,NPZ_UAMB,8,8,ambiguous,While the assistant manager worked the training seemed unnecessarily demanding to him.,7,12.31619644165039,17.768515528983315,12.31619644165039,17.768515528983315,seemed,seemed,7
34,12,NPZ_UAMB,8,8,ambiguous,While the assistant manager worked the training seemed unnecessarily demanding to him.,7,8.017684936523438,11.567074297332507,8.017684936523438,11.567074297332507,unnecessarily,unnecessarily,8
34,12,NPZ_UAMB,8,8,ambiguous,While the assistant manager worked the training seemed unnecessarily demanding to him.,7,5.422086715698242,7.822417616007781,5.422086715698242,7.822417616007781,demanding,demanding,9
35,12,MVRR_UAMB,7,9,ambiguous,The assistant manager assigned the training seemed unnecessarily demanding to new staff.,6,15.139267921447754,21.84134675296204,15.139267921447754,21.84134675296204,seemed,seemed,6
35,12,MVRR_UAMB,7,9,ambiguous,The assistant manager assigned the training seemed unnecessarily demanding to new staff.,6,8.311846733093262,11.99146006246278,8.311846733093262,11.99146006246278,unnecessarily,unnecessarily,7
35,12,MVRR_UAMB,7,9,ambiguous,The assistant manager assigned the training seemed unnecessarily demanding to new staff.,6,4.01450252532959,5.79170288492922,4.01450252532959,5.79170288492922,demanding,demanding,8
36,13,NPS_UAMB,6,7,ambiguous,The mayor showed the document provided sufficient evidence to prove her innocence.,5,8.602139472961426,12.410263958676651,8.602139472961426,12.410263958676651,provided,provided,5
36,13,NPS_UAMB,6,7,ambiguous,The mayor showed the document provided sufficient evidence to prove her innocence.,5,6.4984965324401855,9.375348720585581,6.4984965324401855,9.375348720585581,sufficient,sufficient,6
